Unnamed: 0,SEM 1 SGPA,SEM 1 KT,SEM 2 SGPA,SEM 2 KT,SEM 3 SGPA,SEM 3 KT,SEM 4 SGPA,SEM 4 KT,Attandance,label
35,8.25,0,8.2,0,8.26,0,8.3,0,2,1
36,4.8,1,4.6,1,3.4,2,4.9,2,5,0
37,5.14,0,5.2,2,5.6,1,5.9,0,3,1
38,8.19,0,9.04,0,8.1,0,8.5,0,4,1
39,3.4,2,3.5,2,3.6,1,3.9,1,5,0
40,6.0,1,6.15,0,6.2,2,5.9,0,4,1
41,3.8,1,3.4,1,4.1,2,4.3,1,5,0
42,4.7,2,3.2,2,3.8,2,4.9,0,5,0
43,7.0,0,7.0,0,7.0,0,7.0,0,3,1
44,8.12,0,7.93,0,8.0,0,8.1,0,2,1
45,4.2,2,4.6,2,4.1,1,3.4,2,5,0
46,4.16,2,3.8,2,3.7,1,4.5,1,5,0
47,4.5,1,3.9,3,3.5,1,4.1,2,5,0
48,7.3,0,7.2,1,6.77,0,6.9,0,2,1
49,4.2,1,4.2,2,3.5,2,4.4,1,5,0
50,7.3,0,7.2,1,6.77,0,6.9,0,2,1
51,7.68,0,7.02,0,7.02,0,7.0,0,4,1
52,8.14,2,7.2,1,7.6,1,6.3,0,2,1
53,4.7,2,3.2,2,3.8,2,4.9,0,5,0
54,7.9,0,7.8,0,6.62,0,6.8,0,2,1
55,4.79,1,4.59,1,4.67,2,4.12,2,5,0
56,3.7,2,4.2,1,3.9,1,4.2,2,5,0
57,5.56,0,9.24,0,6.15,0,9.0,0,3,1
58,9.05,0,9.0,0,9.1,0,9.2,0,3,1
59,4.69,2,4.25,2,4.65,1,4.48,1,3,0
60,7.79,0,8.77,0,7.91,0,8.0,0,3,1
61,6.9,0,6.5,0,6.7,0,6.2,0,3,1
62,7.87,0,7.15,0,7.42,0,7.5,0,2,1
63,4.2,1,4.2,2,3.5,2,4.4,1,5,0
64,6.9,0,6.5,0,6.7,0,6.2,0,3,1
65,7.68,0,7.02,0,7.02,0,7.0,0,4,1
66,6.0,0,5.0,0,7.0,0,6.5,0,4,1
67,7.1,0,6.85,0,7.2,1,7.3,0,3,1
68,6.12,0,7.82,0,6.58,0,7.1,0,3,1
69,7.4,2,5.8,2,5.9,1,5.2,0,4,1
70,4.6,1,3.7,1,3.8,2,3.1,2,5,0
71,3.8,4,4.2,2,4.2,1,3.8,2,4,0
72,7.74,0,7.5,1,7.73,0,7.8,0,2,1
73,9.0,0,7.02,0,7.41,0,8.1,0,2,1
74,5.6,2,5.8,2,5.8,1,6.2,0,5,1
75,8.2,0,6.2,0,6.8,0,7.2,0,3,1
76,8.3,0,8.96,0,8.0,0,7.6,0,1,1
77,6.67,1,8.41,2,8.0,1,6.2,0,2,1
78,8.15,0,7.8,0,8.18,0,9.0,0,3,1
79,8.2,0,5.73,2,6.3,2,6.2,0,2,1
80,6.2,1,9.0,1,6.3,1,6.8,0,3,1
81,6.2,0,6.3,0,6.0,0,5.6,0,4,1
82,5.67,0,6.81,0,6.6,2,6.5,0,3,1
83,7.89,1,8.35,2,6.3,1,5.9,0,1,1
84,5.1,2,5.2,0,5.6,1,5.4,0,3,1
85,8.67,0,8.12,0,7.98,0,9.18,0,3,1
86,4.54,2,4.78,1,4.32,1,4.23,1,5,0
87,4.3,1,4.6,1,3.4,1,3.8,2,5,0
88,5.57,0,5.69,0,5.02,0,5.9,2,4,1
89,9.52,0,9.24,0,10.0,0,9.8,0,1,1
90,5.75,0,6.54,0,5.9,0,5.98,0,1,1
91,8.78,0,8.64,0,7.93,0,8.96,0,2,1
92,5.75,0,6.54,0,5.9,0,5.98,0,1,1
93,4.0,3,3.9,2,3.4,1,3.8,0,5,0
94,7.41,0,8.0,0,8.54,0,8.1,0,1,1
95,6.67,0,5.8,2,6.2,0,6.3,0,5,1
96,6.69,0,6.8,1,6.42,0,6.5,0,2,1
97,5.8,0,6.0,0,6.2,0,6.1,0,3,1
98,5.14,0,5.2,2,5.6,1,5.9,0,3,1
99,8.2,0,7.9,0,9.3,0,9.0,0,3,1
100,6.63,0,6.6,0,6.58,0,6.3,0,1,1
101,8.15,0,8.3,0,9.07,0,8.93,0,3,1
102,7.5,0,7.2,0,6.27,0,7.1,0,2,1
103,8.89,0,8.26,0,8.04,0,8.5,0,2,1
104,5.8,0,5.9,1,5.9,0,6.0,0,3,1
105,8.89,0,8.26,0,8.04,0,8.5,0,2,1
106,7.68,0,7.02,0,7.02,0,7.0,0,4,1
107,3.8,3,4.8,3,3.2,2,4.9,1,5,0
108,5.9,0,5.6,0,5.8,1,6.1,0,5,1
109,6.6,0,9.13,0,6.54,0,6.7,0,4,1
110,7.5,0,6.2,0,6.3,1,6.0,0,2,1
111,8.3,0,8.12,0,9.35,0,7.3,0,3,1
112,8.2,0,8.5,0,8.3,0,7.9,0,2,1
113,4.1,1,4.3,1,3.9,1,3.75,1,5,0
114,4.2,1,3.4,2,3.8,3,3.5,2,5,0
115,4.16,2,3.8,2,3.7,1,4.5,1,5,0
116,4.2,2,4.3,3,4.7,1,3.1,3,5,0
117,6.67,0,5.8,2,6.2,0,6.3,0,5,1
118,3.6,1,3.8,2,3.4,2,3.3,1,3,0
119,4.16,2,3.8,2,3.7,1,4.5,1,5,0
120,9.21,1,8.35,0,6.7,2,8.1,0,2,1
121,3.4,2,3.5,2,3.6,1,3.9,1,5,0
122,7.56,0,8.41,0,9.46,0,9.5,0,1,1
123,7.04,0,7.85,0,6.32,0,6.68,0,3,1
124,7.2,0,6.2,0,5.5,0,7.3,0,1,1
125,7.2,0,7.96,0,6.39,0,7.3,0,2,1
126,6.2,1,6.2,1,6.3,2,5.6,0,2,1
127,6.0,1,6.15,0,6.2,2,5.9,0,4,1
128,6.89,0,7.6,0,7.9,0,7.8,0,1,1
129,4.5,1,3.9,3,3.5,1,4.1,2,5,0
130,3.9,3,3.4,2,4.1,2,4.3,1,5,0
131,6.5,0,6.3,0,6.7,0,6.8,0,4,1
132,7.41,0,8.0,0,8.54,0,8.1,0,1,1
133,8.2,0,6.2,0,6.8,0,7.2,0,3,1
134,4.4,3,4.2,2,3.6,1,3.1,2,5,0
135,6.98,0,7.2,0,7.4,0,7.6,0,3,1
136,4.9,2,3.5,2,4.7,2,3.1,0,5,0
137,5.1,2,5.2,0,5.6,1,5.4,0,3,1
138,6.1,2,5.2,1,5.4,1,5.9,0,3,1
139,8.14,0,7.0,0,7.6,0,8.2,0,1,1
140,8.89,0,8.26,0,8.04,0,8.5,0,2,1
141,8.12,0,7.93,0,8.0,0,8.1,0,2,1
142,3.5,2,3.5,2,3.8,1,4.1,2,5,0
143,3.2,1,3.8,2,4.6,3,3.6,2,3,0
144,4.8,0,7.85,0,7.43,0,7.5,0,2,1
145,3.4,2,3.5,2,3.6,1,3.9,1,5,0
146,3.8,1,4.1,2,3.6,2,4.2,1,5,0
147,8.67,0,8.12,0,7.98,0,9.18,0,3,1
148,4.34,1,4.98,2,4.19,1,4.28,2,5,0
149,3.4,1,3.7,2,3.2,1,3.4,2,5,0
150,7.87,0,7.15,0,7.42,0,7.5,0,2,1
151,8.2,0,8.5,0,8.3,0,7.9,0,2,1
152,6.63,0,6.6,0,6.58,0,6.3,0,1,1
153,4.33,1,4.82,2,4.67,2,4.9,1,3,0
154,7.41,0,8.0,0,8.54,0,8.1,0,1,1
155,4.32,1,4.89,1,4.98,1,4.25,2,5,0
156,7.6,0,8.4,0,7.78,0,7.9,0,1,1
157,7.56,0,8.41,0,9.46,0,8.0,0,1,1
158,8.14,0,7.0,0,7.6,0,8.2,0,1,1
159,5.9,1,5.6,1,6.0,2,6.1,0,4,1
160,8.67,0,8.56,0,8.89,0,9.52,0,1,1
161,9.08,0,9.62,0,9.48,0,9.4,0,1,1
162,4.2,1,3.4,2,3.8,3,3.5,2,5,0
163,9.48,0,9.69,0,8.89,0,8.9,0,1,1
164,5.8,1,5.2,1,5.3,0,5.9,0,1,1
165,3.8,1,3.4,1,4.1,2,4.3,1,5,0
166,3.7,2,4.2,1,3.9,1,4.2,2,5,0
167,4.7,1,4.73,1,4.32,2,4.55,2,5,0
168,4.89,2,4.72,2,4.61,2,4.58,0,5,0
169,4.1,2,4.6,3,4.2,1,4.8,3,5,0
170,7.2,0,7.1,0,6.54,0,7.84,0,2,1
171,3.8,1,4.2,2,4.6,2,3.5,2,3,0
172,3.8,2,3.6,1,3.4,3,3.7,2,5,0
173,7.2,1,8.43,1,8.88,1,6.3,0,2,1
174,8.12,0,7.93,0,8.0,0,8.1,0,2,1
175,7.2,1,8.43,1,8.88,1,6.3,0,2,1
176,3.8,4,4.2,2,4.2,1,3.8,2,4,0
177,7.79,0,8.77,0,7.91,0,8.0,0,3,1
178,4.9,2,4.8,2,4.2,1,4.6,1,5,0
179,6.2,0,6.23,0,5.9,0,5.7,0,1,1
180,3.7,1,3.8,2,4.2,2,4.1,1,5,0
181,8.89,0,7.19,0,6.54,0,6.9,0,3,1
182,4.7,2,3.2,2,3.8,2,4.9,0,5,0
183,3.2,1,3.8,2,4.6,3,3.6,2,3,0
184,6.7,0,6.67,0,6.69,0,6.9,0,2,1
185,3.8,1,3.4,1,4.1,2,4.3,1,5,0
186,8.19,0,9.04,0,8.1,0,8.5,0,4,1
187,7.89,0,7.93,0,8.27,0,8.0,0,2,1
188,8.71,0,6.8,0,8.0,0,8.0,0,3,1
189,4.2,2,3.2,2,3.5,2,3.8,0,5,0
190,4.64,1,4.44,2,4.72,2,4.35,1,5,0
191,7.41,0,8.0,0,8.54,0,8.1,0,1,1
192,4.4,3,4.2,2,3.6,1,3.1,2,5,0
193,4.32,1,4.89,1,4.98,1,4.25,2,5,0
194,3.8,1,3.7,3,3.3,2,3.2,0,4,0
195,3.5,1,3.4,2,4.0,2,4.1,2,5,0
196,4.2,1,4.1,1,4.5,4,4.8,0,4,0
197,3.6,2,3.8,2,3.7,2,4.1,3,5,0
198,3.6,1,3.8,2,3.4,2,3.3,1,3,0
199,7.1,0,6.85,0,7.2,1,7.3,0,3,1
200,7.79,0,8.77,0,7.91,0,8.0,0,3,1
201,3.4,2,4.2,1,4.7,3,4.2,2,5,0
202,7.56,0,8.41,0,9.46,0,8.0,0,1,1
203,3.8,4,4.2,2,4.2,1,3.8,2,4,0
204,3.8,1,4.2,2,4.6,2,3.5,2,3,0
205,8.32,0,8.16,0,7.41,0,7.6,0,3,1
206,3.5,2,3.5,2,3.8,1,4.1,2,5,0
207,6.91,0,9.04,0,7.8,0,7.39,0,3,1
208,7.04,0,7.85,0,6.32,0,6.68,0,3,1
209,4.0,3,3.9,2,3.4,1,3.8,0,5,0
210,7.2,0,8.43,0,6.43,0,6.5,0,5,1
211,5.8,0,6.15,0,6.09,0,6.0,0,3,1
212,4.3,1,4.6,1,3.4,1,3.8,2,5,0
213,4.2,2,3.8,1,4.7,2,3.8,1,5,0
214,8.2,0,8.5,0,8.3,0,7.9,0,2,1
215,8.32,0,8.16,0,7.41,0,7.6,0,3,1
216,3.7,1,4.2,1,3.8,4,4.6,0,5,0
217,3.9,3,3.4,2,4.1,2,4.3,1,5,0
218,6.2,0,6.23,0,5.9,0,5.7,0,1,1
219,7.2,0,7.1,0,6.54,0,7.84,0,2,1
220,8.3,0,8.7,0,8.2,0,8.1,0,2,1
221,9.05,0,9.0,0,9.1,0,9.2,0,3,1
222,5.9,2,5.8,2,5.6,1,5.9,0,2,1
223,4.3,1,3.6,1,3.3,2,4.1,2,5,0
224,8.3,0,8.96,0,8.0,0,7.6,0,1,1
225,4.79,1,4.59,1,4.67,2,4.12,2,5,0
226,9.48,0,9.69,0,8.89,0,8.9,0,1,1
227,4.64,1,4.21,1,4.31,1,4.19,1,5,0
228,4.32,1,4.89,1,4.98,1,4.25,2,5,0
229,3.7,1,4.9,2,3.7,1,3.5,1,3,0
230,6.5,2,6.1,1,5.0,0,6.2,0,5,1
231,8.15,0,8.3,0,9.07,0,8.93,0,3,1
232,6.69,0,6.8,1,6.42,0,6.5,0,2,1
233,8.71,0,6.8,0,8.0,0,8.0,0,3,1
234,5.93,0,5.2,0,5.4,0,6.8,0,4,1
235,7.65,0,6.76,0,6.62,0,6.9,0,4,1
236,8.67,0,8.12,0,7.98,0,9.18,0,3,1
237,7.7,0,7.63,0,9.85,0,8.8,0,2,1
238,7.2,0,7.96,0,6.39,0,7.3,0,2,1
239,3.5,2,3.5,2,3.8,1,4.1,2,5,0
240,4.2,2,4.3,3,4.7,1,3.1,3,5,0
241,3.2,1,3.9,1,3.8,2,3.5,1,5,0
242,7.8,0,7.2,0,7.8,0,7.2,0,2,1
243,7.93,0,7.93,0,7.38,0,7.3,0,3,1
244,7.4,2,5.8,2,5.9,1,5.2,0,4,1
245,4.64,1,4.44,2,4.72,2,4.35,1,5,0
246,9.0,0,9.0,0,8.0,0,8.5,0,3,1
247,7.0,0,7.0,0,7.0,0,7.0,0,3,1
248,6.12,0,7.82,0,6.58,0,7.1,0,3,1
249,3.9,1,3.4,1,3.8,2,4.6,1,5,0
250,8.0,0,8.56,0,7.22,0,7.6,0,1,1
251,8.78,0,8.64,0,7.93,0,8.96,0,2,1
252,3.4,2,3.5,2,4.6,1,3.5,1,5,0
253,3.9,2,3.5,1,4.1,2,4.2,2,5,0
254,6.2,0,6.23,0,5.9,0,5.7,0,1,1
255,9.48,0,9.69,0,8.89,0,8.9,0,1,1
256,3.9,2,3.5,1,4.1,2,4.2,2,5,0
257,7.89,0,7.93,0,8.27,0,8.0,0,2,1
258,3.9,3,3.4,2,4.1,2,4.3,1,5,0
259,6.6,0,5.5,2,5.9,1,6.0,0,2,1
260,3.8,1,3.7,3,3.3,2,3.2,0,4,0
261,7.6,0,8.4,0,7.78,0,7.9,0,1,1
262,5.57,0,5.69,0,5.02,0,5.9,2,4,1
263,8.12,0,7.93,0,8.0,0,8.1,0,2,1
264,4.1,1,4.3,1,3.9,1,3.75,1,5,0
265,4.3,1,4.6,1,3.4,1,3.8,2,5,0
266,4.2,2,4.3,3,4.7,1,3.1,3,5,0
267,5.8,0,6.0,0,6.2,0,6.1,0,3,1
268,5.1,2,5.2,0,5.6,1,5.4,0,3,1
269,5.9,1,5.6,1,6.0,2,6.1,0,4,1
270,7.2,0,7.3,0,7.16,0,7.1,0,3,1
271,7.93,0,7.93,0,7.38,0,7.3,0,3,1
272,3.7,1,4.9,2,4.2,2,4.7,2,3,0
273,6.89,0,6.8,2,6.2,2,6.9,0,2,1
274,3.9,2,3.4,2,4.2,2,3.7,0,4,0
275,6.3,0,6.2,0,6.8,0,6.7,0,2,1
276,6.53,0,6.81,0,7.14,0,7.86,0,3,1
277,3.7,1,4.2,1,3.8,4,4.6,0,5,0
278,4.9,2,3.5,2,4.7,2,3.1,0,5,0
279,4.3,1,3.6,1,3.3,2,4.1,2,5,0
280,8.71,0,6.8,0,8.0,0,8.0,0,3,1
281,5.8,0,6.15,0,6.09,0,6.0,0,3,1
282,8.19,0,8.5,0,8.26,0,8.3,0,2,1
283,4.27,1,4.19,1,4.17,1,4.27,3,5,0
284,7.93,0,7.93,0,7.38,0,7.3,0,3,1
285,7.8,0,7.2,0,7.8,0,7.2,0,2,1
286,3.6,1,3.5,1,3.7,2,4.1,1,5,0
287,4.97,2,4.95,1,4.87,1,4.85,2,5,0
288,4.66,4,4.68,1,4.28,1,4.27,0,5,0
289,6.53,0,6.81,0,7.14,0,7.86,0,3,1
290,8.3,0,8.96,0,8.0,0,7.6,0,1,1
291,3.7,1,3.8,2,4.2,2,4.1,1,5,0
292,7.56,0,8.41,0,9.46,0,9.5,0,1,1
293,7.11,0,7.44,0,6.08,0,7.1,0,4,1
294,4.0,2,4.5,2,4.6,1,4.8,1,4,0
295,4.5,2,4.2,3,4.3,1,3.6,2,5,0
296,5.6,2,5.8,2,5.8,1,6.2,0,5,1
297,9.48,0,9.69,0,8.89,0,8.9,0,1,1
298,8.2,0,6.2,0,6.8,0,7.2,0,3,1
299,6.6,0,8.1,0,7.5,0,6.8,0,5,1
300,4.6,1,3.7,1,3.8,2,3.1,2,5,0
301,3.8,1,3.9,2,4.6,1,3.9,2,5,0
302,6.2,1,6.2,1,6.3,2,5.6,0,2,1
303,6.67,0,5.8,2,6.2,0,6.3,0,5,1
304,7.6,0,8.4,0,7.78,0,7.9,0,1,1
305,9.08,0,9.62,0,9.48,0,9.4,0,1,1
306,4.6,1,3.7,1,3.8,2,3.1,2,5,0
307,4.16,2,3.8,2,3.7,1,4.5,1,5,0
308,4.1,3,3.2,1,3.6,2,3.4,2,5,0
309,4.2,1,4.1,2,3.6,1,3.4,1,5,0
310,5.65,0,5.7,2,5.9,2,5.8,0,3,1
311,5.5,0,5.73,0,7.5,0,5.6,0,4,1
312,8.0,0,8.56,0,7.22,0,7.6,0,1,1
313,5.8,0,6.15,0,6.09,0,6.0,0,3,1
314,8.14,2,7.2,1,7.6,1,6.3,0,2,1
315,7.2,0,7.1,0,6.11,0,6.67,0,4,1
316,7.79,0,8.77,0,7.91,0,8.0,0,3,1
317,9.05,0,6.3,0,7.41,0,7.6,0,2,1
318,6.0,1,5.9,2,5.8,1,5.9,0,2,1
319,7.5,0,6.2,0,6.3,1,6.0,0,2,1
320,8.3,0,8.12,0,9.35,0,7.3,0,3,1
321,7.1,0,6.85,0,7.2,1,7.3,0,3,1
322,9.48,0,9.69,0,8.89,0,8.9,0,1,1
323,4.25,1,4.8,3,4.65,2,4.85,0,5,0
324,3.7,2,4.1,2,4.3,2,3.5,2,3,0
325,4.2,1,3.4,2,3.8,3,3.5,2,5,0
326,3.8,3,4.8,3,3.2,2,4.9,1,5,0
327,3.9,2,3.5,1,4.1,2,4.2,2,5,0
328,9.21,0,9.13,0,5.9,0,8.9,0,1,1
329,7.2,0,6.2,0,5.5,0,7.3,0,1,1
330,5.5,0,5.73,0,7.5,0,5.6,0,4,1
331,5.6,1,5.7,1,5.2,1,5.7,0,2,1
332,4.1,2,4.6,3,4.2,1,4.8,3,5,0
333,9.0,0,7.02,0,7.41,0,8.1,0,2,1
334,7.04,0,7.0,0,7.38,0,7.6,0,2,1
335,3.7,1,4.9,2,3.7,1,3.5,1,3,0
336,9.42,0,9.34,0,8.02,0,7.84,0,3,1
337,7.9,0,7.8,0,6.62,0,6.8,0,2,1
338,9.42,0,9.34,0,8.02,0,7.84,0,3,1
339,4.2,2,4.3,3,4.7,1,3.1,3,5,0
340,5.6,2,5.8,2,5.8,1,6.2,0,5,1
341,5.7,2,5.85,1,5.6,2,6.0,0,3,1
342,7.7,0,7.63,0,9.85,0,8.8,0,2,1
343,4.78,2,4.65,2,4.61,1,4.21,1,4,0
344,4.33,1,4.82,2,4.67,2,4.9,1,3,0
345,8.3,0,8.12,0,9.35,0,7.3,0,3,1
346,6.5,0,6.3,0,6.7,0,6.8,0,4,1
347,9.16,1,8.35,0,8.27,2,7.2,0,2,1
348,6.63,0,6.6,0,6.58,0,6.3,0,1,1
349,7.2,0,7.3,0,7.16,0,7.1,0,3,1
350,3.9,1,3.4,1,3.8,2,4.6,1,5,0
351,3.8,2,4.6,1,4.6,1,3.4,1,5,0
352,3.7,1,4.9,2,4.2,2,4.7,2,3,0
353,6.5,2,6.1,1,5.0,0,6.2,0,5,1
354,7.74,0,7.5,1,7.73,0,7.8,0,2,1
355,3.6,1,3.7,1,4.6,2,4.2,1,5,0
356,4.2,1,4.1,1,4.5,4,4.8,0,4,0
357,3.7,1,4.2,1,3.8,4,4.6,0,5,0
358,4.3,1,3.6,1,3.3,2,4.1,2,5,0
359,4.87,2,4.54,3,4.56,1,4.32,0,3,0
360,6.3,0,6.2,0,6.8,0,6.7,0,2,1
361,5.56,0,9.24,0,6.15,0,9.0,0,3,1
362,8.54,0,7.31,0,6.54,0,8.04,0,3,1
363,6.89,0,7.6,0,7.9,0,7.8,0,1,1
364,7.1,0,6.85,0,7.2,1,7.3,0,3,1
365,5.8,1,5.2,1,5.3,0,5.9,0,1,1
366,5.75,0,6.54,0,5.9,0,5.98,0,1,1
367,4.2,2,4.6,2,4.1,1,3.4,2,5,0
368,7.65,0,6.76,0,6.62,0,6.9,0,4,1
369,7.41,0,8.0,0,8.54,0,8.1,0,1,1
370,4.33,1,4.82,2,4.67,2,4.9,1,3,0
371,7.7,0,7.63,0,9.85,0,8.8,0,2,1
372,7.68,0,7.02,0,7.02,0,7.0,0,4,1
373,8.89,0,7.19,0,6.54,0,6.9,0,3,1
374,5.8,0,5.9,1,5.9,0,6.0,0,3,1
375,4.33,1,4.82,2,4.67,2,4.9,1,3,0
376,4.32,1,4.89,1,4.98,1,4.25,2,5,0
377,5.6,1,5.7,1,5.2,1,5.7,0,2,1
378,4.6,1,3.5,1,4.6,2,3.9,1,5,0
379,8.19,0,8.5,0,8.26,0,8.3,0,2,1
380,7.2,0,6.2,0,5.5,0,7.3,0,1,1
381,8.25,0,8.2,0,8.26,0,8.3,0,2,1
382,8.19,0,8.5,0,8.26,0,8.3,0,2,1
383,7.7,0,7.63,0,9.85,0,8.8,0,2,1
384,4.1,2,4.1,2,4.1,1,3.4,2,5,0
385,5.67,0,5.8,1,5.17,0,5.6,0,1,1
386,3.8,3,4.8,3,3.2,2,4.9,1,5,0
387,6.91,0,9.04,0,7.8,0,7.39,0,3,1
388,9.58,0,9.46,0,8.2,0,7.1,0,1,1
389,4.2,1,3.9,1,3.5,2,3.6,2,5,0
390,3.5,2,3.5,2,3.8,1,4.1,2,5,0
391,7.1,0,7.2,0,6.88,0,6.9,0,3,1
392,3.7,1,4.2,1,3.8,4,4.6,0,5,0
393,3.6,3,4.5,3,3.7,0,4.2,0,3,0
394,9.42,0,9.34,0,8.02,0,7.84,0,3,1
395,3.6,1,3.8,2,3.4,2,3.3,1,3,0
396,5.5,0,6.0,0,6.1,0,6.2,0,5,1
397,8.43,1,6.2,2,6.8,1,6.5,0,2,1
398,4.9,2,3.5,2,4.7,2,3.1,0,5,0
399,8.54,0,7.31,0,6.54,0,8.04,0,3,1
400,3.8,1,3.9,2,4.6,1,3.9,2,5,0
401,6.1,0,6.2,0,6.35,0,6.5,0,4,1
402,6.2,0,6.23,0,5.9,0,5.7,0,1,1
403,7.6,0,8.4,0,7.78,0,7.9,0,1,1
404,7.68,0,7.02,0,7.02,0,7.0,0,4,1
405,7.2,0,8.43,0,6.43,0,6.5,0,5,1
406,6.6,0,9.13,0,6.54,0,6.7,0,4,1
407,7.2,0,7.26,0,7.5,0,8.0,0,3,1
408,3.5,1,4.2,1,4.9,1,4.7,1,5,0
409,6.6,0,9.13,0,6.54,0,6.7,0,4,1
410,7.11,0,7.44,0,6.08,0,7.1,0,4,1
411,3.4,2,4.2,1,4.7,3,4.2,2,5,0
412,7.04,0,7.85,0,6.32,0,6.68,0,3,1
413,3.9,1,3.7,2,4.4,2,4.5,3,5,0
414,5.8,1,5.2,1,5.3,0,5.9,0,1,1
415,6.67,0,5.8,2,6.2,0,6.3,0,5,1
416,4.8,0,7.85,0,7.43,0,7.5,0,2,1
417,4.89,2,4.72,2,4.61,2,4.58,0,5,0
418,5.8,0,6.15,0,6.09,0,6.0,0,3,1
419,8.57,0,8.22,0,8.08,0,8.8,0,1,1
420,6.89,0,7.6,0,7.9,0,7.8,0,1,1
421,4.2,2,3.8,1,4.7,2,3.8,1,5,0
422,7.22,0,7.04,0,7.5,0,7.0,0,2,1
423,7.7,0,7.63,0,9.85,0,8.8,0,2,1
424,3.7,1,3.4,1,3.9,1,3.2,1,5,0
425,5.9,1,5.7,1,5.6,1,5.8,0,5,1
426,6.12,0,7.82,0,6.58,0,7.1,0,3,1
427,3.5,1,4.2,1,4.9,1,4.7,1,5,0
428,4.2,2,3.2,2,3.5,2,3.8,0,5,0
429,6.67,0,7.19,0,6.54,0,6.5,0,3,1
430,7.2,0,7.3,0,7.16,0,7.1,0,3,1
431,8.2,0,6.2,0,6.8,0,7.2,0,3,1
432,4.2,2,3.2,2,3.5,2,3.8,0,5,0
433,6.2,0,6.23,0,5.9,0,5.7,0,1,1
434,6.15,0,6.09,0,6.0,0,7.1,0,2,1
435,3.8,4,4.2,2,4.2,1,3.8,2,4,0
436,8.0,0,7.85,0,8.54,0,8.1,0,2,1
437,4.2,1,4.1,2,3.6,1,3.4,1,5,0
438,6.67,1,8.41,2,8.0,1,6.2,0,2,1
439,4.0,3,3.9,2,3.4,1,3.8,0,5,0
440,7.87,0,7.15,0,7.42,0,7.5,0,2,1
441,4.24,1,4.58,1,4.65,2,4.87,1,4,0
442,5.14,0,5.2,2,5.6,1,5.9,0,3,1
443,5.14,0,5.2,2,5.6,1,5.9,0,3,1
444,5.5,2,5.2,2,5.85,0,5.9,0,3,1
445,9.21,0,9.13,0,5.9,0,8.9,0,1,1
446,8.2,0,5.73,2,6.3,2,6.2,0,2,1
447,6.5,0,6.3,0,6.7,0,6.8,0,4,1
448,6.1,0,6.09,0,6.0,0,6.1,0,3,1
449,9.52,0,9.24,0,10.0,0,9.8,0,1,1
450,5.93,0,5.2,0,5.4,0,6.8,0,4,1
451,8.19,0,9.04,0,8.1,0,8.5,0,4,1
452,3.6,3,4.5,3,3.7,0,4.2,0,3,0
453,3.8,1,3.4,1,4.1,2,4.3,1,5,0
454,4.27,1,4.19,1,4.17,1,4.27,3,5,0
455,6.67,0,5.8,2,6.2,0,6.3,0,5,1
456,4.97,2,4.95,1,4.87,1,4.85,2,5,0
457,6.2,0,6.3,0,6.0,0,5.6,0,4,1
458,4.2,1,3.4,2,3.8,3,3.5,2,5,0
459,3.7,2,4.2,1,3.9,1,4.2,2,5,0
